,pred,text,actual
498,Derek O'Brien,RT Kolkata AB ve blood donors urgent at PG Hospital Pls Call 9477205093 or 7980981524 cc,Derek O'Brien
499,Arvind Kejriwal,RT This is bigger than even the EVM demo AAP can prove if votes were stolen in recent municipal amp assembly elections Wow,Arvind Kejriwal
500,Manish Sisodia,RT Add your voice https t co mA9MSHmi7o https t co Uf7oEvkZF3,Barack Obama
501,Akhilesh Yadav,Ran into today fanboy moment https t co CBo4bUcGNn,Shashi Tharoor
502,KD SINGH,http t co p82Zu04oXn,KD SINGH
503,Donald J. Trump,Stunned amp saddened at the passing of Amala Thomas dearest friend amp TV producer We worked together on 2 quiz shows She was 47 GoneTooSoon,Derek O'Brien
504,Donald J. Trump,Happy Mother s Day to my love and partner on this journey and to all the wonderful hardworking mothers out there,Barack Obama
505,Barack Obama,Today I welcomed the Victory Christian Center School Good luck the Team America Rocketry Challenge TARC Watch https t co wFrRsK2wuo,Donald J. Trump
506,Hillary Clinton,RT And to find that it was preventable Family lodged a police complaint week before the incident I demand book those,Salman Anees Soz
507,Hillary Clinton,We need your help knocking on doors and making phone calls helping to turn people out Hillary https t co iWKBOE1i18,Hillary Clinton
508,Barack Obama,In the meantime I want to hear what you re thinking about the road ahead So share your ideas with me here https t co GYkEOK8EuT,Barack Obama
509,Omar Abdullah,RT The desperation levels of newly launched gossip channel is obvious Rubbish amp lies peddled as news is the new normal in post,digvijaya singh
510,Barack Obama,I read letters like these every single day It was one of the best parts of the job hearing from you https t co so1luBcszV,Barack Obama
511,Hillary Clinton,Sometimes to protect the ones you love you must make the right decision What I did today was a tough decision but https t co kbxDeYrZeO,Akhilesh Yadav
512,Derek O'Brien,Thank you https t co DhF8sLqwcT,Narendra Modi
513,Hillary Clinton,A decision that will safeguard the rights amp interests of women https t co OVKSpkDo6O,Narendra Modi
514,Omar Abdullah,RT 100 days ago a new message leader amp movement took the Oval Office A government FOR the people BY the people This is,Donald J. Trump
515,digvijaya singh,RT Ind I am pretty sure ji will listen to Swamy amp ensure an unqualified Rajnikant is not taken into BJP Hmmm,digvijaya singh
516,KD SINGH,nan,KD SINGH
517,KD SINGH,https t co uv1YixxnVJ https t co jdWOe6WsOT,Shashi Tharoor
518,KD SINGH,BJPFoundationDay,Arun Jaitley
519,Sharad Pawar,Distributed 25 lakhs each to the families of Martyrs from various districts https t co QOWpVn0bru,Akhilesh Yadav
520,Shashi Tharoor,Compliments on the occasion of NutanSamvatsara Ugadi GudiPadwa ChetiChand ChaitraNavratri https t co PVlubFyrcb,Arun Jaitley
521,Sharad Pawar,The matter is certainly outrageous and disrespectful I hereby appeal to party workers to ignore the matter and maintain peace,Sharad Pawar
522,Donald J. Trump,The Fake Media not Real Media has gotten even worse since the election Every story is badly slanted We have to hold them to the truth,Donald J. Trump
523,Omar Abdullah,Very sad amp alarming Condolences to the family May Lt Umar Fayaz s soul rest in peace https t co bY67JwKedc,Omar Abdullah
524,Sharad Pawar,Remembering Shri Chandra Shekharji on his birth anniversary https t co 5pAsdFhkqZ,Akhilesh Yadav
525,Barack Obama,Congress is back from recess Help put the pressure on Senate leaders to give Judge Garland a hearing https t co F4eATpElMT DoYourJob,Barack Obama
526,Sushma Swaraj,RT used to have a telephonic conversation with when the latter was in jail,digvijaya singh
527,Hillary Clinton,Released a song composed and created by supporters for our upcoming election campaign https t co q7RY6EJAaJ,Akhilesh Yadav
528,Omar Abdullah,Terrible news to end the day Sympathies amp condolences to the families and prayers for the deceased Kashmir https t co 4vQD46j0LM,Omar Abdullah
529,Arvind Kejriwal,RT Today AAP MLA MLAgk provided incontrovertible evidence that EVM tampering is possible What do all the sceptics,Manish Sisodia
530,Sharad Pawar,Reality check Bravo to those handful of journalists who are still not full time cheerleaders https t co fbtrXQoxaD,Derek O'Brien
531,Arvind Kejriwal,RT Do watch the Buck Stops Here at 10pm tonight,Salman Anees Soz
532,Arun Jaitley,At an event to honour Indian soldiers martyred in the 1971 war April 8 2017 https t co VyTHt4ZGWW,Arun Jaitley
533,Manish Sisodia,RT Zomato from serving 23 countries worldwide they gonna b serving the whole world with our credit card details,digvijaya singh
534,Derek O'Brien,President of India hosted State dinner for President of State of Palestine Privilege to attend Tradition ceremony plus music from Navy,Derek O'Brien
535,Manish Sisodia,RT,Manish Sisodia
536,Sharad Pawar,Congratulations to EAM Smt ji and the entire Hague team,Arun Jaitley
537,Akhilesh Yadav,History in a pic https t co p5mgIYWayd,Derek O'Brien
538,Arun Jaitley,Chaired the 13th meeting of the GST Council today March 31 2017 https t co dYM1Ipe73i,Arun Jaitley
539,KD SINGH,nan,Sushma Swaraj
540,Sharad Pawar,Wishing you all happy Buddha Pournima The birth anniversary of Lord Gautam Buddha Symbol of eternal love and pe https t co Vng4R5RyMR,Sharad Pawar
541,Omar Abdullah,RT Retired senior army officers who have handled Kashmir tell me Be militarily correct need political healing touch https,Omar Abdullah
542,Omar Abdullah,RT Youth are struggling to find jobs farmers are committing suicide amp soldiers are dying at the border What exactly is the G,Salman Anees Soz
543,Omar Abdullah,I dedicate this award to farmers whose relentless toil made this nation self reliant in food production 2 5,Sharad Pawar
544,Barack Obama,The need for a ninth justice is undeniably clear DoYourJob https t co L1EBgNbh3Q,Barack Obama
545,Akhilesh Yadav,The energy of the crowds inspires me everyday to do more and more for the people of UP https t co 5dqSN95llJ,Akhilesh Yadav
546,KD SINGH,12 hudhud http t co xaQKUHVqw9 http t co Ikys8mHUa3,KD SINGH
547,Donald J. Trump,In order to protest against the situation on 9th Jan 2017 NCP has planned protest activities in every district of Maharashtra 3 4,Sharad Pawar
548,Manish Sisodia,RT Badhai ho UP walon https t co r8xXaLcCq4,Manish Sisodia
549,Hillary Clinton,Just spoke with my friend President Moon Jae in of Korea Wished him every success amp invited him to visit India soon Together we succeed,Narendra Modi
550,Arun Jaitley,RT India Finance Min c launches UKIndiaYearofCulture starts today with buckinghampalace reception,Arun Jaitley
551,Arun Jaitley,RT ips Coordination meeting with African nationals by SW police held ystrdy VKSingh,Sushma Swaraj
552,Arvind Kejriwal,RT EVM BJP Anchor,Arvind Kejriwal
553,Shashi Tharoor,Attending first of its kind meeting called by Kerala CM w airline reps MinistryofCivilAviation o https t co zVDrsxG6vR,Shashi Tharoor
554,Hillary Clinton,America depends on you you all of you I didn t say Yes I can I said Yes we can https t co oHVglCTncQ,Hillary Clinton
555,Donald J. Trump,It was a great honor to welcome the President of Turkey Recep Tayyip Erdo an to the today https t co 4BWjOCgnNv,Donald J. Trump
556,Omar Abdullah,RT I wanted to be first at my polling place but 99 year old Minerva Turpin beat me to it Looks like I need to get used to bein,Hillary Clinton
557,KD SINGH,2 4 5 26 ceasefireviolation jammu,KD SINGH
558,KD SINGH,nan,Sushma Swaraj
559,Arun Jaitley,RT Finance Minister spoke of many investment opportunities in dynamic Indian economy at seminar organized by Emb,Arun Jaitley
560,Arun Jaitley,Hosted reception for the Defence investiture awardees April 7 2017 https t co uWmyQ8jcgr,Arun Jaitley
561,Akhilesh Yadav,At party head quarters today https t co QgheydNeJQ,Akhilesh Yadav
562,Hillary Clinton,CBI NIA ED combined Caged Parrots or Hand Maiden of Ruling Party It is for you to decide Where are we heading,digvijaya singh
563,KD SINGH,http t co aYfHzw1qYS,KD SINGH
564,Barack Obama,Let s celebrate New York State getting something important done that we wanted to do nationally A great step for p https t co mMeZ5IXPWY,Hillary Clinton
565,Barack Obama,RT In honor of HispanicHeritageMonth we celebrate the progress that Hispanic Americans have made under https t co,Barack Obama
566,Barack Obama,Wildfires in the next few decades could be unrecognizable to previous generations because of climate change https t co vM3xM6mCf3,Barack Obama
567,Shashi Tharoor,My one minute oral book review of Sethu s novel about Kerala Jews Aliyah https t co JB4OJOPdv4,Shashi Tharoor
568,Hillary Clinton,Thanks Happy to hear Let us all work together and create a new India https t co 12Z7JmdsO4,Narendra Modi
569,Donald J. Trump,Eventually but at a later date so we can get started early Mexico will be paying in some form for the badly needed border wall,Donald J. Trump
570,Donald J. Trump,My best tweets are the ones I save as drafts instead of posting them I have some real gems tucked away there,Omar Abdullah
571,Akhilesh Yadav,Distributed specially fitted cycles and accessories for World Disability Day https t co MAgok1mQ4Z,Akhilesh Yadav
572,Barack Obama,Well said Jimmy That s exactly why we fought so hard for the ACA and why we need to protect it for kids like Bil https t co jB3LXT94Ok,Barack Obama
573,Sushma Swaraj,I saw this news item and asked for a report from which has been received 1I https t co Y0Fruh8YXM,Sushma Swaraj
574,Omar Abdullah,I hope has thought through the implications of mass student protests across the valley This is a de https t co kNrZid1dnP,Omar Abdullah
575,Hillary Clinton,If you believe we should never write discrimination into our laws you ve got to vote Hillary https t co jfd3CXLD1s,Hillary Clinton
576,Sushma Swaraj,I have received a report on the shootout incident resulting in the tragic death of Indian national Vikram Jaryal in Washington State USA 1,Sushma Swaraj
577,Akhilesh Yadav,In discussion with Dr Ammar Rizvi today https t co 4AjLOS5nGA,Akhilesh Yadav
578,Arun Jaitley,RT The world owes the French a big thank you for stopping bigotry s march so emphatically https t co YMcaslssEl,Salman Anees Soz
579,Sharad Pawar,The comments are in deviation with the oath taken by Ministers to follow the code of conduct with integrity and commitment to the state,Sharad Pawar
580,Arvind Kejriwal,RT Under BJP rule India has become the largest exporter of meat Our soldiers are beheaded Shame on such a gover,digvijaya singh
581,KD SINGH,https t co SMRBtiE7q9,Sharad Pawar
582,Sharad Pawar,Happy MakarSankrant Lohri Bihu Uttarayan and Pongal to all fellow Indians across the world https t co KXWJ7ChiTw,Sharad Pawar
583,Hillary Clinton,You can watch tomorrow s Narmada Seva Yatra programme live on your mobiles https t co TYuxNNJfIf,Narendra Modi
584,KD SINGH,WeeklyAddress https t co UYEhgch4Hl https t co HIQoFuc5cy,Donald J. Trump
585,Akhilesh Yadav,Addressed five rallies to overflowing crowds in Etah and Aligarh districts https t co QPgPDrMGwU,Akhilesh Yadav
586,Sushma Swaraj,Welcome His Excellency Mr Bert Koenders Minister of Foreign Affairs Government of Netherlands,Sushma Swaraj
587,Donald J. Trump,Seeing is believing By visiting the exhibition our Farmers amp Entrepreneurs can and will bring changes to ur lives,Sharad Pawar
588,Shashi Tharoor,RT 25 min is quite a long distance run by any standards Noted the nod to KBC too thanks https t co h27VH3N7VO,Derek O'Brien
589,Manish Sisodia,RT Delhi govt all set to inaugurate 5 English medium govt schools offerin state of the art facilities in July Jo Kaha Wo,Arvind Kejriwal
590,KD SINGH,https t co z4C3YhebPi https t co 7z8GOUoJYU,Shashi Tharoor
591,KD SINGH,Ottawa,Sushma Swaraj
592,Arvind Kejriwal,RT EVMTEMPERING MLAgk Bj,Arvind Kejriwal
593,Arvind Kejriwal,RT Six agencies CBI ED IT SFIO ACB IB working round the clock to fix amp Kejriwal The witch hunt is unp,Arvind Kejriwal
594,KD SINGH,https t co 111LAPtnQa,Akhilesh Yadav
595,Barack Obama,Six months is long enough senators It s time to DoYourJob and give Judge Garland a hearing https t co A2Yedmhuw6,Barack Obama
596,Donald J. Trump,The Fake Media is working overtime today,Donald J. Trump
597,Narendra Modi,Yes we have a very old and strong bond with Sri Lanka https t co GDB3CEA80l,Narendra Modi
598,Salman Anees Soz,There should be an inquiry after electronic voting machines in Madhya Pradesh were only dispensing BJP slips https t co VIpxQBVi9a,Akhilesh Yadav
599,KD SINGH,Pakistan ceasefireviolence firing India JammuKashmir Pak,KD SINGH
600,Omar Abdullah,RT Mattu A retired IAS Officer who has never served in J amp K will be the CM s Advisor overseeing implementation of all Central Sche,Omar Abdullah
601,Derek O'Brien,RT Bengal respects all languages and languages of all States Our three language formula shows how we really do https,Derek O'Brien
602,Hillary Clinton,Dear Mr Gupta now that it has been established that the man WAS NOT a TA jawan as claimed by you how about you clar https t co zxCDexmmdM,Omar Abdullah
603,Sushma Swaraj,RT twts CGISF has reached out to Mr Jayant friend of r Aloukik and conveyed the contact,Sushma Swaraj
604,KD SINGH,nan,Sharad Pawar
605,KD SINGH,1 2 NobelPrize,KD SINGH
606,KD SINGH,UP CM Adityanath photo ops with animals media laps it up UP CM closing a criminal case against himself media still lapping it up,Salman Anees Soz
607,Arun Jaitley,B day greetings to Sh Faggan Singh Kulaste ji my colleague in the Union Council of Ministers May God bless him with a long amp healthy life,Arun Jaitley
608,Hillary Clinton,If you are in Kolkata today join us for an evening of nostalgia conversations and more to remember my dad on his https t co MFIcUenckV,Derek O'Brien
609,Arun Jaitley,Birthday compliments to Shri ji my colleague in the Union Cabinet May he be blessed with a long healthy amp successful life,Arun Jaitley
610,Sharad Pawar,It was pleasurable amp inspirational moment to be with Bill F Austin founder of USA at Baramati https t co EEvugpXADg,Sharad Pawar
611,Omar Abdullah,More so after being the Prime Target of Modi s Troll Army Their abuse doesn t affect me at all in fact it amuses me,digvijaya singh
612,Arun Jaitley,At the South Asia Sub regional Economic Cooperation SASEC Finance Ministers meeting April 3 2017 https t co RCw5qHBpwT,Arun Jaitley
613,Akhilesh Yadav,In Mumbai today at 7pm friends from the Indian television industry will pay tribute to Amala Thomas Here are the https t co pDLpY3VDu8,Derek O'Brien
614,Arvind Kejriwal,RT Big breaking from delhi government Kapil Mishra out of Kejriwal cabinet Kailash Gehlot and rajendra gautam will be N,Arvind Kejriwal
615,Shashi Tharoor,Greetings on the auspicious occasion of Buddha Purnima https t co wCFP9zUezc,Narendra Modi
616,Donald J. Trump,About 18 lakh Laptops distributed to meritorious students in Uttar Pradesh Wishing all of them success in their careers,Akhilesh Yadav
617,Omar Abdullah,RT Couldn t be more proud of my mom amp the campaign she s run Let s bring it home for her today https t co Mw1JC5L9rj,Hillary Clinton
618,Manish Sisodia,RT,Manish Sisodia
619,KD SINGH,https t co X5iAWGplcl,Sharad Pawar
620,Donald J. Trump,Saddened to know about the passing away of Justice Leila Seth Her progressive views on justice amp gender issues will always encourage us,Arvind Kejriwal
621,Manish Sisodia,RT oops wrong Sagarika sirs Main do bachche ki ma hoon https t co 37wH9INQZP,Omar Abdullah
622,Donald J. Trump,Having known Dr MS Swaminathan for years I can say that there is a farmer alive in him amp this spirit has benefitted the entire nation,Narendra Modi
623,Arvind Kejriwal,EVM,Manish Sisodia
624,KD SINGH,ir,Narendra Modi
625,Arun Jaitley,Addressing the Global Investor s Summit Momentum Jharkhand in Ranchi Feb 16 2017 https t co V7aoW7bIm3,Arun Jaitley
626,Arun Jaitley,B day greetings to VKSingh ji my colleague in the Union Council of Ministers May God bless him with a long healthy amp successful life,Arun Jaitley
627,Akhilesh Yadav,Today was a victory for all Americans https t co LX6lzQXtBR,Hillary Clinton
628,KD SINGH,Pls look into this,Sushma Swaraj
629,Hillary Clinton,If you believe in science and that we have to act on climate change then you have to vote Hillary https t co jfd3CXLD1s,Hillary Clinton
630,KD SINGH,https t co 0mgMm6ZHae,Sushma Swaraj
631,Arun Jaitley,Absolutely shocked by the sudden demise of my friend amp a very respected colleague Environment Minister Anil Madhav Dave ji My condolences,Narendra Modi
632,Shashi Tharoor,I thank the Tamil community of Indian origin for their warmth during the programme earlier today Sharing my speech https t co DB1FAKWKGW,Narendra Modi
633,Arun Jaitley,RT Meeting with Indian Finance Minister and UK Foreign Secretary https t co ISPaHVp3QF,Arun Jaitley
634,Donald J. Trump,I am watching the Democrats trying to defend the you can keep you doctor you can keep your plan amp premiums will go down ObamaCare lie,Donald J. Trump
635,Arvind Kejriwal,RT omar Imagine the twitter outrage if this had happened for Rahul Gandhi to visit instead of for the UP CM All sorts of name c,Salman Anees Soz
636,KD SINGH,nan,Sushma Swaraj
637,Arvind Kejriwal,RT Demo the tampering on look alike EVM forgery case will be filed Show it on real EVM theft case will be filed What in,Arvind Kejriwal
638,digvijaya singh,RT The reality of s own Adarsh Gram Roads broken Limited power Jobs lost Watch Bluff6 Tikdam6 https t co 3,digvijaya singh
639,Barack Obama,RT Every nominee including Kennedy in an election year got an up or down vote on serving as Senate Judiciary Chairman or R,Barack Obama
