,text,pred,actual
498,RT Kolkata AB ve blood donors urgent at PG Hospital Pls Call 9477205093 or 7980981524 cc,Derek O'Brien,Derek O'Brien
499,RT This is bigger than even the EVM demo AAP can prove if votes were stolen in recent municipal amp assembly elections Wow,Arvind Kejriwal,Arvind Kejriwal
500,RT Add your voice https t co mA9MSHmi7o https t co Uf7oEvkZF3,Barack Obama,Barack Obama
501,Ran into today fanboy moment https t co CBo4bUcGNn,Akhilesh Yadav,Shashi Tharoor
502,http t co p82Zu04oXn,KD SINGH,KD SINGH
503,Stunned amp saddened at the passing of Amala Thomas dearest friend amp TV producer We worked together on 2 quiz shows She was 47 GoneTooSoon,Derek O'Brien,Derek O'Brien
504,Happy Mother s Day to my love and partner on this journey and to all the wonderful hardworking mothers out there,Donald J. Trump,Barack Obama
505,Today I welcomed the Victory Christian Center School Good luck the Team America Rocketry Challenge TARC Watch https t co wFrRsK2wuo,Akhilesh Yadav,Donald J. Trump
506,RT And to find that it was preventable Family lodged a police complaint week before the incident I demand book those,Sushma Swaraj,Salman Anees Soz
507,We need your help knocking on doors and making phone calls helping to turn people out Hillary https t co iWKBOE1i18,Hillary Clinton,Hillary Clinton
508,In the meantime I want to hear what you re thinking about the road ahead So share your ideas with me here https t co GYkEOK8EuT,Hillary Clinton,Barack Obama
509,RT The desperation levels of newly launched gossip channel is obvious Rubbish amp lies peddled as news is the new normal in post,Shashi Tharoor,digvijaya singh
510,I read letters like these every single day It was one of the best parts of the job hearing from you https t co so1luBcszV,Barack Obama,Barack Obama
511,Sometimes to protect the ones you love you must make the right decision What I did today was a tough decision but https t co kbxDeYrZeO,Barack Obama,Akhilesh Yadav
512,Thank you https t co DhF8sLqwcT,Derek O'Brien,Narendra Modi
513,A decision that will safeguard the rights amp interests of women https t co OVKSpkDo6O,Hillary Clinton,Narendra Modi
514,RT 100 days ago a new message leader amp movement took the Oval Office A government FOR the people BY the people This is,Salman Anees Soz,Donald J. Trump
515,RT Ind I am pretty sure ji will listen to Swamy amp ensure an unqualified Rajnikant is not taken into BJP Hmmm,digvijaya singh,digvijaya singh
516,nan,Manish Sisodia,KD SINGH
517,https t co uv1YixxnVJ https t co jdWOe6WsOT,Barack Obama,Shashi Tharoor
518,BJPFoundationDay,KD SINGH,Arun Jaitley
519,Distributed 25 lakhs each to the families of Martyrs from various districts https t co QOWpVn0bru,Akhilesh Yadav,Akhilesh Yadav
520,Compliments on the occasion of NutanSamvatsara Ugadi GudiPadwa ChetiChand ChaitraNavratri https t co PVlubFyrcb,Sharad Pawar,Arun Jaitley
521,The matter is certainly outrageous and disrespectful I hereby appeal to party workers to ignore the matter and maintain peace,Sharad Pawar,Sharad Pawar
522,The Fake Media not Real Media has gotten even worse since the election Every story is badly slanted We have to hold them to the truth,Donald J. Trump,Donald J. Trump
523,Very sad amp alarming Condolences to the family May Lt Umar Fayaz s soul rest in peace https t co bY67JwKedc,Omar Abdullah,Omar Abdullah
524,Remembering Shri Chandra Shekharji on his birth anniversary https t co 5pAsdFhkqZ,Sharad Pawar,Akhilesh Yadav
525,Congress is back from recess Help put the pressure on Senate leaders to give Judge Garland a hearing https t co F4eATpElMT DoYourJob,Barack Obama,Barack Obama
526,RT used to have a telephonic conversation with when the latter was in jail,Sushma Swaraj,digvijaya singh
527,Released a song composed and created by supporters for our upcoming election campaign https t co q7RY6EJAaJ,Hillary Clinton,Akhilesh Yadav
528,Terrible news to end the day Sympathies amp condolences to the families and prayers for the deceased Kashmir https t co 4vQD46j0LM,Omar Abdullah,Omar Abdullah
529,RT Today AAP MLA MLAgk provided incontrovertible evidence that EVM tampering is possible What do all the sceptics,Arvind Kejriwal,Manish Sisodia
530,Reality check Bravo to those handful of journalists who are still not full time cheerleaders https t co fbtrXQoxaD,Hillary Clinton,Derek O'Brien
531,RT Do watch the Buck Stops Here at 10pm tonight,Donald J. Trump,Salman Anees Soz
532,At an event to honour Indian soldiers martyred in the 1971 war April 8 2017 https t co VyTHt4ZGWW,Arun Jaitley,Arun Jaitley
533,RT Zomato from serving 23 countries worldwide they gonna b serving the whole world with our credit card details,Sushma Swaraj,digvijaya singh
534,President of India hosted State dinner for President of State of Palestine Privilege to attend Tradition ceremony plus music from Navy,Derek O'Brien,Derek O'Brien
535,RT,Manish Sisodia,Manish Sisodia
536,Congratulations to EAM Smt ji and the entire Hague team,Sharad Pawar,Arun Jaitley
537,History in a pic https t co p5mgIYWayd,Salman Anees Soz,Derek O'Brien
538,Chaired the 13th meeting of the GST Council today March 31 2017 https t co dYM1Ipe73i,Arun Jaitley,Arun Jaitley
539,nan,Manish Sisodia,Sushma Swaraj
540,Wishing you all happy Buddha Pournima The birth anniversary of Lord Gautam Buddha Symbol of eternal love and pe https t co Vng4R5RyMR,Narendra Modi,Sharad Pawar
541,RT Retired senior army officers who have handled Kashmir tell me Be militarily correct need political healing touch https,Omar Abdullah,Omar Abdullah
542,RT Youth are struggling to find jobs farmers are committing suicide amp soldiers are dying at the border What exactly is the G,digvijaya singh,Salman Anees Soz
543,I dedicate this award to farmers whose relentless toil made this nation self reliant in food production 2 5,Sharad Pawar,Sharad Pawar
544,The need for a ninth justice is undeniably clear DoYourJob https t co L1EBgNbh3Q,Barack Obama,Barack Obama
545,The energy of the crowds inspires me everyday to do more and more for the people of UP https t co 5dqSN95llJ,Akhilesh Yadav,Akhilesh Yadav
546,12 hudhud http t co xaQKUHVqw9 http t co Ikys8mHUa3,KD SINGH,KD SINGH
547,In order to protest against the situation on 9th Jan 2017 NCP has planned protest activities in every district of Maharashtra 3 4,Arun Jaitley,Sharad Pawar
548,RT Badhai ho UP walon https t co r8xXaLcCq4,Manish Sisodia,Manish Sisodia
549,Just spoke with my friend President Moon Jae in of Korea Wished him every success amp invited him to visit India soon Together we succeed,Narendra Modi,Narendra Modi
550,RT India Finance Min c launches UKIndiaYearofCulture starts today with buckinghampalace reception,Arun Jaitley,Arun Jaitley
551,RT ips Coordination meeting with African nationals by SW police held ystrdy VKSingh,Sushma Swaraj,Sushma Swaraj
552,RT EVM BJP Anchor,Arvind Kejriwal,Arvind Kejriwal
553,Attending first of its kind meeting called by Kerala CM w airline reps MinistryofCivilAviation o https t co zVDrsxG6vR,Shashi Tharoor,Shashi Tharoor
554,America depends on you you all of you I didn t say Yes I can I said Yes we can https t co oHVglCTncQ,Hillary Clinton,Hillary Clinton
555,It was a great honor to welcome the President of Turkey Recep Tayyip Erdo an to the today https t co 4BWjOCgnNv,Donald J. Trump,Donald J. Trump
556,RT I wanted to be first at my polling place but 99 year old Minerva Turpin beat me to it Looks like I need to get used to bein,Shashi Tharoor,Hillary Clinton
557,2 4 5 26 ceasefireviolation jammu,KD SINGH,KD SINGH
558,nan,Manish Sisodia,Sushma Swaraj
559,RT Finance Minister spoke of many investment opportunities in dynamic Indian economy at seminar organized by Emb,Arun Jaitley,Arun Jaitley
560,Hosted reception for the Defence investiture awardees April 7 2017 https t co uWmyQ8jcgr,Arun Jaitley,Arun Jaitley
561,At party head quarters today https t co QgheydNeJQ,Akhilesh Yadav,Akhilesh Yadav
562,CBI NIA ED combined Caged Parrots or Hand Maiden of Ruling Party It is for you to decide Where are we heading,digvijaya singh,digvijaya singh
563,http t co aYfHzw1qYS,KD SINGH,KD SINGH
564,Let s celebrate New York State getting something important done that we wanted to do nationally A great step for p https t co mMeZ5IXPWY,Donald J. Trump,Hillary Clinton
565,RT In honor of HispanicHeritageMonth we celebrate the progress that Hispanic Americans have made under https t co,Barack Obama,Barack Obama
566,Wildfires in the next few decades could be unrecognizable to previous generations because of climate change https t co vM3xM6mCf3,Barack Obama,Barack Obama
567,My one minute oral book review of Sethu s novel about Kerala Jews Aliyah https t co JB4OJOPdv4,Shashi Tharoor,Shashi Tharoor
568,Thanks Happy to hear Let us all work together and create a new India https t co 12Z7JmdsO4,Derek O'Brien,Narendra Modi
569,Eventually but at a later date so we can get started early Mexico will be paying in some form for the badly needed border wall,Donald J. Trump,Donald J. Trump
570,My best tweets are the ones I save as drafts instead of posting them I have some real gems tucked away there,Sushma Swaraj,Omar Abdullah
571,Distributed specially fitted cycles and accessories for World Disability Day https t co MAgok1mQ4Z,Akhilesh Yadav,Akhilesh Yadav
572,Well said Jimmy That s exactly why we fought so hard for the ACA and why we need to protect it for kids like Bil https t co jB3LXT94Ok,Barack Obama,Barack Obama
573,I saw this news item and asked for a report from which has been received 1I https t co Y0Fruh8YXM,Sushma Swaraj,Sushma Swaraj
574,I hope has thought through the implications of mass student protests across the valley This is a de https t co kNrZid1dnP,Omar Abdullah,Omar Abdullah
575,If you believe we should never write discrimination into our laws you ve got to vote Hillary https t co jfd3CXLD1s,Hillary Clinton,Hillary Clinton
576,I have received a report on the shootout incident resulting in the tragic death of Indian national Vikram Jaryal in Washington State USA 1,Sushma Swaraj,Sushma Swaraj
577,In discussion with Dr Ammar Rizvi today https t co 4AjLOS5nGA,Akhilesh Yadav,Akhilesh Yadav
578,RT The world owes the French a big thank you for stopping bigotry s march so emphatically https t co YMcaslssEl,Omar Abdullah,Salman Anees Soz
579,The comments are in deviation with the oath taken by Ministers to follow the code of conduct with integrity and commitment to the state,Arun Jaitley,Sharad Pawar
580,RT Under BJP rule India has become the largest exporter of meat Our soldiers are beheaded Shame on such a gover,Arvind Kejriwal,digvijaya singh
581,https t co SMRBtiE7q9,Barack Obama,Sharad Pawar
582,Happy MakarSankrant Lohri Bihu Uttarayan and Pongal to all fellow Indians across the world https t co KXWJ7ChiTw,Akhilesh Yadav,Sharad Pawar
583,You can watch tomorrow s Narmada Seva Yatra programme live on your mobiles https t co TYuxNNJfIf,Narendra Modi,Narendra Modi
584,WeeklyAddress https t co UYEhgch4Hl https t co HIQoFuc5cy,Barack Obama,Donald J. Trump
585,Addressed five rallies to overflowing crowds in Etah and Aligarh districts https t co QPgPDrMGwU,Akhilesh Yadav,Akhilesh Yadav
586,Welcome His Excellency Mr Bert Koenders Minister of Foreign Affairs Government of Netherlands,Sushma Swaraj,Sushma Swaraj
587,Seeing is believing By visiting the exhibition our Farmers amp Entrepreneurs can and will bring changes to ur lives,Sharad Pawar,Sharad Pawar
588,RT 25 min is quite a long distance run by any standards Noted the nod to KBC too thanks https t co h27VH3N7VO,Derek O'Brien,Derek O'Brien
589,RT Delhi govt all set to inaugurate 5 English medium govt schools offerin state of the art facilities in July Jo Kaha Wo,Manish Sisodia,Arvind Kejriwal
590,https t co z4C3YhebPi https t co 7z8GOUoJYU,Barack Obama,Shashi Tharoor
591,Ottawa,KD SINGH,Sushma Swaraj
592,RT EVMTEMPERING MLAgk Bj,Arvind Kejriwal,Arvind Kejriwal
593,RT Six agencies CBI ED IT SFIO ACB IB working round the clock to fix amp Kejriwal The witch hunt is unp,digvijaya singh,Arvind Kejriwal
594,https t co 111LAPtnQa,Barack Obama,Akhilesh Yadav
595,Six months is long enough senators It s time to DoYourJob and give Judge Garland a hearing https t co A2Yedmhuw6,Barack Obama,Barack Obama
596,The Fake Media is working overtime today,Donald J. Trump,Donald J. Trump
597,Yes we have a very old and strong bond with Sri Lanka https t co GDB3CEA80l,Narendra Modi,Narendra Modi
598,There should be an inquiry after electronic voting machines in Madhya Pradesh were only dispensing BJP slips https t co VIpxQBVi9a,Omar Abdullah,Akhilesh Yadav
599,Pakistan ceasefireviolence firing India JammuKashmir Pak,KD SINGH,KD SINGH
600,RT Mattu A retired IAS Officer who has never served in J amp K will be the CM s Advisor overseeing implementation of all Central Sche,Omar Abdullah,Omar Abdullah
601,RT Bengal respects all languages and languages of all States Our three language formula shows how we really do https,Derek O'Brien,Derek O'Brien
602,Dear Mr Gupta now that it has been established that the man WAS NOT a TA jawan as claimed by you how about you clar https t co zxCDexmmdM,Omar Abdullah,Omar Abdullah
603,RT twts CGISF has reached out to Mr Jayant friend of r Aloukik and conveyed the contact,Sushma Swaraj,Sushma Swaraj
604,nan,Manish Sisodia,Sharad Pawar
605,1 2 NobelPrize,KD SINGH,KD SINGH
606,UP CM Adityanath photo ops with animals media laps it up UP CM closing a criminal case against himself media still lapping it up,Arvind Kejriwal,Salman Anees Soz
607,B day greetings to Sh Faggan Singh Kulaste ji my colleague in the Union Council of Ministers May God bless him with a long amp healthy life,Arun Jaitley,Arun Jaitley
608,If you are in Kolkata today join us for an evening of nostalgia conversations and more to remember my dad on his https t co MFIcUenckV,Hillary Clinton,Derek O'Brien
609,Birthday compliments to Shri ji my colleague in the Union Cabinet May he be blessed with a long healthy amp successful life,Arun Jaitley,Arun Jaitley
610,It was pleasurable amp inspirational moment to be with Bill F Austin founder of USA at Baramati https t co EEvugpXADg,Sharad Pawar,Sharad Pawar
611,More so after being the Prime Target of Modi s Troll Army Their abuse doesn t affect me at all in fact it amuses me,Derek O'Brien,digvijaya singh
612,At the South Asia Sub regional Economic Cooperation SASEC Finance Ministers meeting April 3 2017 https t co RCw5qHBpwT,Arun Jaitley,Arun Jaitley
613,In Mumbai today at 7pm friends from the Indian television industry will pay tribute to Amala Thomas Here are the https t co pDLpY3VDu8,Akhilesh Yadav,Derek O'Brien
614,RT Big breaking from delhi government Kapil Mishra out of Kejriwal cabinet Kailash Gehlot and rajendra gautam will be N,Arvind Kejriwal,Arvind Kejriwal
615,Greetings on the auspicious occasion of Buddha Purnima https t co wCFP9zUezc,Akhilesh Yadav,Narendra Modi
616,About 18 lakh Laptops distributed to meritorious students in Uttar Pradesh Wishing all of them success in their careers,Akhilesh Yadav,Akhilesh Yadav
617,RT Couldn t be more proud of my mom amp the campaign she s run Let s bring it home for her today https t co Mw1JC5L9rj,Hillary Clinton,Hillary Clinton
618,RT,Manish Sisodia,Manish Sisodia
619,https t co X5iAWGplcl,Barack Obama,Sharad Pawar
620,Saddened to know about the passing away of Justice Leila Seth Her progressive views on justice amp gender issues will always encourage us,Hillary Clinton,Arvind Kejriwal
621,RT oops wrong Sagarika sirs Main do bachche ki ma hoon https t co 37wH9INQZP,Sushma Swaraj,Omar Abdullah
622,Having known Dr MS Swaminathan for years I can say that there is a farmer alive in him amp this spirit has benefitted the entire nation,Sharad Pawar,Narendra Modi
623,EVM,Arvind Kejriwal,Manish Sisodia
624,ir,Narendra Modi,Narendra Modi
625,Addressing the Global Investor s Summit Momentum Jharkhand in Ranchi Feb 16 2017 https t co V7aoW7bIm3,Arun Jaitley,Arun Jaitley
626,B day greetings to VKSingh ji my colleague in the Union Council of Ministers May God bless him with a long healthy amp successful life,Arun Jaitley,Arun Jaitley
627,Today was a victory for all Americans https t co LX6lzQXtBR,Barack Obama,Hillary Clinton
628,Pls look into this,Sushma Swaraj,Sushma Swaraj
629,If you believe in science and that we have to act on climate change then you have to vote Hillary https t co jfd3CXLD1s,Hillary Clinton,Hillary Clinton
630,https t co 0mgMm6ZHae,Barack Obama,Sushma Swaraj
631,Absolutely shocked by the sudden demise of my friend amp a very respected colleague Environment Minister Anil Madhav Dave ji My condolences,Arun Jaitley,Narendra Modi
632,I thank the Tamil community of Indian origin for their warmth during the programme earlier today Sharing my speech https t co DB1FAKWKGW,Narendra Modi,Narendra Modi
633,RT Meeting with Indian Finance Minister and UK Foreign Secretary https t co ISPaHVp3QF,Arun Jaitley,Arun Jaitley
634,I am watching the Democrats trying to defend the you can keep you doctor you can keep your plan amp premiums will go down ObamaCare lie,Donald J. Trump,Donald J. Trump
635,RT omar Imagine the twitter outrage if this had happened for Rahul Gandhi to visit instead of for the UP CM All sorts of name c,Omar Abdullah,Salman Anees Soz
636,nan,Manish Sisodia,Sushma Swaraj
637,RT Demo the tampering on look alike EVM forgery case will be filed Show it on real EVM theft case will be filed What in,Arvind Kejriwal,Arvind Kejriwal
638,RT The reality of s own Adarsh Gram Roads broken Limited power Jobs lost Watch Bluff6 Tikdam6 https t co 3,digvijaya singh,digvijaya singh
639,RT Every nominee including Kennedy in an election year got an up or down vote on serving as Senate Judiciary Chairman or R,Hillary Clinton,Barack Obama
